success_rate,recovery_rate,amount,payment_method,bank,failure_code,hour,action,success
0.4,0.6666666666666666,4594.55,UPI,YESBANK,BANK_TIMEOUT,16,NO_ACTION,0
0.6984126984126984,0.42105263157894735,7250.64,UPI,YESBANK,LIMIT_EXCEEDED,20,SEND_REMINDER,1
0.7076923076923077,0.7894736842105263,135.92,NETBANKING,SBI,INSUFFICIENT_FUNDS,0,RETRY_NOW,1
0.4,0.6666666666666666,8432.53,UPI,HDFC,CARD_EXPIRED,3,RETRY_LATER,0
0.8095238095238095,0.25,1953.99,NETBANKING,YESBANK,BANK_TIMEOUT,10,RETRY_LATER,1
0.5714285714285714,0.0,8878.69,NETBANKING,SBI,NETWORK_ERROR,18,RETRY_LATER,0
0.9032258064516129,0.5,8512.42,NETBANKING,HDFC,CARD_EXPIRED,18,RETRY_LATER,0
0.782608695652174,0.5,2538.77,NETBANKING,AXIS,INSUFFICIENT_FUNDS,16,RETRY_NOW,0
0.8131868131868132,0.5882352941176471,1766.81,CARD,ICICI,LIMIT_EXCEEDED,11,RETRY_NOW,0
0.7948717948717948,0.5,813.12,CARD,AXIS,NETWORK_ERROR,16,SEND_REMINDER,0
0.7956989247311828,0.3684210526315789,7175.42,WALLET,SBI,NETWORK_ERROR,19,SEND_REMINDER,1
0.8333333333333334,1.0,8433.27,NETBANKING,HDFC,CARD_EXPIRED,14,SEND_REMINDER,1
0.717391304347826,0.6153846153846154,9131.14,WALLET,YESBANK,AUTHENTICATION_FAILED,0,RETRY_NOW,0
0.6818181818181818,0.8571428571428571,191.84,WALLET,YESBANK,NETWORK_ERROR,7,RETRY_NOW,1
0.7647058823529411,0.375,5616.19,CARD,ICICI,LIMIT_EXCEEDED,6,RETRY_NOW,0
0.6363636363636364,0.75,4849.45,NETBANKING,KOTAK,BANK_TIMEOUT,6,NO_ACTION,0
0.5714285714285714,0.0,9439.52,WALLET,KOTAK,INSUFFICIENT_FUNDS,2,RETRY_LATER,0
0.8888888888888888,0.0,6482.48,NETBANKING,ICICI,AUTHENTICATION_FAILED,22,NO_ACTION,0
0.3333333333333333,1.0,5721.44,NETBANKING,YESBANK,CARD_EXPIRED,4,RETRY_LATER,1
0.7096774193548387,0.4444444444444444,9014.58,CARD,ICICI,NETWORK_ERROR,21,RETRY_LATER,1
0.7333333333333333,0.5,1597.36,UPI,HDFC,AUTHENTICATION_FAILED,5,RETRY_NOW,0
0.8,0.3333333333333333,4138.11,UPI,YESBANK,NETWORK_ERROR,10,SEND_REMINDER,1
0.9090909090909091,1.0,4746.16,UPI,AXIS,LIMIT_EXCEEDED,5,SEND_REMINDER,0
0.6881720430107527,0.5862068965517241,7877.02,CARD,KOTAK,NETWORK_ERROR,8,NO_ACTION,0
0.6875,0.4666666666666667,8283.73,UPI,HDFC,INSUFFICIENT_FUNDS,9,SEND_REMINDER,1
0.6833333333333333,0.5526315789473685,6662.0,WALLET,KOTAK,LIMIT_EXCEEDED,9,NO_ACTION,0
0.6875,0.5,8693.93,CARD,YESBANK,LIMIT_EXCEEDED,5,RETRY_LATER,1
0.8,0.0,2728.41,CARD,KOTAK,INSUFFICIENT_FUNDS,11,RETRY_NOW,0
0.8695652173913043,0.3333333333333333,9593.33,UPI,YESBANK,BANK_TIMEOUT,6,NO_ACTION,0
0.631578947368421,0.14285714285714285,8500.25,CARD,YESBANK,CARD_EXPIRED,20,RETRY_LATER,0
0.7115384615384616,0.6,5337.09,CARD,AXIS,AUTHENTICATION_FAILED,16,NO_ACTION,0
0.7142857142857143,0.65,2693.11,WALLET,AXIS,BANK_TIMEOUT,20,NO_ACTION,0
