payment_id,customer_id,success_rate,recovery_rate,amount,payment_method,bank,failure_code,hour,action,success
b7a0b343-5693-9c74-beeb-b54f2689801b,a7632219-8588-4563-8415-d2c64dd5c55c,0.5714285714285714,0.6666666666666666,4691.5,UPI,YESBANK,CARD_EXPIRED,2,SEND_REMINDER,0
5be61a49-eff5-8d19-ae64-653ccef01ca7,e5634a7c-e07f-4470-a882-aa2fd04ba011,0.6756756756756757,0.5,3741.56,WALLET,KOTAK,LIMIT_EXCEEDED,15,SEND_REMINDER,0
acb76e5a-3322-be6c-52d6-59fa01eea441,1a511189-cd0c-4d91-94f7-be3e90a0c90b,0.5833333333333334,0.4,1183.04,WALLET,KOTAK,LIMIT_EXCEEDED,2,SEND_REMINDER,0
99e2d7b5-4ea9-ca77-2933-8a0605e991e7,a212f1d9-c810-45c4-b634-0a4ac3ca7b15,0.6666666666666666,0.0,7824.67,CARD,SBI,BANK_TIMEOUT,0,RETRY_LATER,1
67701e36-17d0-13fe-de0c-da1230b35433,df903ed5-880a-4c74-b584-9b8555400ff3,0.6857142857142857,0.18181818181818182,2642.12,NETBANKING,SBI,AUTHENTICATION_FAILED,1,RETRY_LATER,0
e80e5e3f-bb4c-59f0-afaa-29674e67fc9f,2c758e74-a34a-4031-bdc5-d9ec13ef618f,0.7,0.5,2612.84,NETBANKING,YESBANK,BANK_TIMEOUT,1,RETRY_NOW,1
e70cc0d4-b699-e425-014f-85ecb61753e2,ba8b210b-ebdc-422d-baed-d008c345c5ae,0.6904761904761905,0.6153846153846154,2425.05,WALLET,SBI,LIMIT_EXCEEDED,10,SEND_REMINDER,0
ecafdbba-9705-79f8-cfcf-c18e072cc982,ce6c8788-db4c-4e1c-b4d2-8aa514a3288a,0.6842105263157895,0.4166666666666667,3855.82,WALLET,ICICI,INSUFFICIENT_FUNDS,5,NO_ACTION,0
0cb9cdc7-8c47-9927-565f-6b63b352bd42,d066fbf2-76b2-4855-9f67-4f1a45569244,0.6417910447761194,0.4166666666666667,1956.23,WALLET,HDFC,LIMIT_EXCEEDED,18,SEND_REMINDER,1
3401370f-b7fb-777e-4c27-cf634d53625f,664c8da7-6c57-49d9-ba82-6c95c5da34a3,0.7117117117117117,0.5625,642.42,UPI,AXIS,NETWORK_ERROR,21,RETRY_LATER,1
